version,BN,Regularizer,cluster key,cluster set,cluster dhn,cluster nodes,cluster size,cluster type,cut ratio,is inverted flux,ML input features,ML output features,mae,best_loss
7,0,0,24-c,2,4,"[39, 51, 52, 68, 79, 80, 84]",7,1-1,0.2857142857142857,0,8,1,0.07683868820361053,0.010158829391002655
8,0,1,24-c,2,4,"[39, 51, 52, 68, 79, 80, 84]",7,1-1,0.2857142857142857,0,8,1,0.0871126656073538,0.015977829694747925
7,0,0,25-c,2,4,"[19, 20, 27, 28, 47, 62, 63, 64]",8,2-3,0.625,0,10,3,0.1744195868721346,0.01253124512732029
8,0,1,25-c,2,4,"[19, 20, 27, 28, 47, 62, 63, 64]",8,2-3,0.625,0,10,3,0.20471914288836682,0.02009892649948597
7,0,0,26-c,2,4,"[8, 10, 21, 34, 35, 57, 61, 81]",8,1-4,0.625,0,9,4,0.16132824535434465,0.011107143014669418
8,0,1,26-c,2,4,"[8, 10, 21, 34, 35, 57, 61, 81]",8,1-4,0.625,0,9,4,0.20480015524173947,0.018671084195375443
7,0,0,27-c,2,4,"[19, 20, 21, 27, 28, 34, 35, 57, 90]",9,1-4,0.5555555555555556,0,10,4,0.08969774006726505,0.007598803378641605
8,0,1,27-c,2,4,"[19, 20, 21, 27, 28, 34, 35, 57, 90]",9,1-4,0.5555555555555556,0,10,4,0.11600094176630361,0.014698651619255543
7,0,0,28-c,2,4,"[8, 10, 21, 41, 57, 58, 61, 81]",8,1-5,0.75,0,9,5,0.17154680965847177,0.011307659558951855
8,0,1,28-c,2,4,"[8, 10, 21, 41, 57, 58, 61, 81]",8,1-5,0.75,0,9,5,0.20434463007051382,0.018166201189160347
7,0,0,29-c,2,4,"[14, 15, 19, 20, 27, 28, 46, 47]",8,2-5,0.875,0,10,5,0.15774399461839866,0.01082536205649376
8,0,1,29-c,2,4,"[14, 15, 19, 20, 27, 28, 46, 47]",8,2-5,0.875,0,10,5,0.1966647192452718,0.018901022151112556
