version,Regularizer,cluster key,cluster set,cluster dhn,cluster nodes,cluster size,cluster type,cut ratio,is inverted flux,ML input features,ML output features,mae,best_loss
5,1,4-c,1,2,"[3, 4, 12, 13]",4,1-1,0.5,0,5,1,0.17984990319491315,0.02208522893488407
1,0,5-c,1,2,"[7, 14]",2,1-2,1.5,0,3,2,0.07439070977679453,0.00673462450504303
5,1,5-c,1,2,"[7, 14]",2,1-2,1.5,0,3,2,0.11330808246735244,0.014806095510721207
1,0,6-c,1,2,"[5, 7, 14, 15]",4,1-2,0.75,0,5,2,0.19279093377454307,0.013384202495217323
5,1,6-c,1,2,"[5, 7, 14, 15]",4,1-2,0.75,0,5,2,0.2766676824760106,0.023979324847459793
1,0,7-c,1,2,"[8, 9, 10]",3,2-1,1.0,0,5,1,0.4636274895582247,0.028448238968849182
5,1,7-c,1,2,"[8, 9, 10]",3,2-1,1.0,0,5,1,0.6499290772892117,0.04523992910981178
1,0,8-c,1,2,"[5, 6, 20]",3,1-0,0.3333333333333333,0,4,0,0.02380799532996467,0.006069975905120373
5,1,8-c,1,2,"[5, 6, 20]",3,1-0,0.3333333333333333,0,4,0,0.0390104403376758,0.014920727349817753
1,0,9-c,1,2,"[3, 4, 12, 13, 18]",5,1-2,0.6,0,6,2,0.3096311998201139,0.019233986735343933
5,1,9-c,1,2,"[3, 4, 12, 13, 18]",5,1-2,0.6,0,6,2,0.4167972738218066,0.030705170705914497
